"Event.ID","Purchase.Date","Customer.ID","City","State","Postal.Code","Sale.Location","Delivery.Method"
"33","1/30/2020 15:30","2558","Bay Village","OH","44140","Web","E-Ticket"
"28","1/30/2020 14:57","4462","Cleveland Heights","OH","44118","Web","E-Ticket"
"24","1/30/2020 12:25","3484","Parma","OH","44130","POS","E-Ticket"
"24","1/30/2020 12:25","3484","Parma","OH","44130","POS","E-Ticket"
"24","1/30/2020 12:25","3484","Parma","OH","44130","POS","E-Ticket"
"24","1/30/2020 12:25","3484","Parma","OH","44130","POS","E-Ticket"
"24","1/30/2020 11:43","1159","Cleveland Heights","OH","44121","Web","E-Ticket"
"24","1/30/2020 11:43","1159","Cleveland Heights","OH","44121","Web","E-Ticket"
"19","1/30/2020 11:06","166","Beachwood","OH","44122","Web","E-Ticket"
"19","1/30/2020 11:06","166","Beachwood","OH","44122","Web","E-Ticket"
"24","1/30/2020 10:21","3785","Shaker Heights","OH","44122","POS","Will Call"
"24","1/30/2020 10:21","3785","Shaker Heights","OH","44122","POS","Will Call"
"21","1/30/2020 8:06","4449","Chesterland","OH","44026","Web","E-Ticket"
"21","1/30/2020 8:06","4449","Chesterland","OH","44026","Web","E-Ticket"
"21","1/30/2020 3:07","4414","Beachwood","OH","44122","Web","E-Ticket"
"21","1/30/2020 3:07","4414","Beachwood","OH","44122","Web","E-Ticket"
"21","1/30/2020 3:07","4414","Beachwood","OH","44122","Web","E-Ticket"
"21","1/30/2020 3:07","4414","Beachwood","OH","44122","Web","E-Ticket"
"33","1/30/2020 0:04","2777","Cleveland","OH","44118","Web","E-Ticket"
"33","1/30/2020 0:04","2777","Cleveland","OH","44118","Web","E-Ticket"
"28","1/29/2020 23:59","2777","Cleveland","OH","44118","Web","E-Ticket"
"28","1/29/2020 23:59","2777","Cleveland","OH","44118","Web","E-Ticket"
"33","1/29/2020 21:23","2059","Cleveland","OH","44106","Web","E-Ticket"
"28","1/29/2020 21:21","2059","Cleveland","OH","44106","Web","E-Ticket"
"21","1/29/2020 19:15","1264","Cleveland","OH","44103","Web","E-Ticket"
"21","1/29/2020 19:15","1264","Cleveland","OH","44103","Web","E-Ticket"
"21","1/29/2020 18:11","2444","Chardon","OH","44024","Web","Will Call"
"21","1/29/2020 18:11","2444","Chardon","OH","44024","Web","Will Call"
"19","1/29/2020 16:28","2690","Avon Lake","OH","44012","POS","E-Ticket"
"19","1/29/2020 16:28","2690","Avon Lake","OH","44012","POS","E-Ticket"
"19","1/29/2020 16:28","2690","Avon Lake","OH","44012","POS","E-Ticket"
"21","1/29/2020 16:15","1397","Beachwood","OH","44122","POS","E-Ticket"
"21","1/29/2020 16:15","1397","Beachwood","OH","44122","POS","E-Ticket"
"19","1/29/2020 16:12","44","Sagamore Hills","OH","44067","POS","E-Ticket"
"19","1/29/2020 16:12","44","Sagamore Hills","OH","44067","POS","E-Ticket"
"19","1/29/2020 16:12","44","Sagamore Hills","OH","44067","POS","E-Ticket"
"19","1/29/2020 16:12","44","Sagamore Hills","OH","44067","POS","E-Ticket"
"18","1/29/2020 16:09","4158","Independence","OH","44131","POS","Will Call"
"18","1/29/2020 16:09","4158","Independence","OH","44131","POS","Will Call"
"18","1/29/2020 16:01","2176","Cleveland","OH","44118","Web","E-Ticket"
"18","1/29/2020 16:01","2176","Cleveland","OH","44118","Web","E-Ticket"
"18","1/29/2020 15:18","2017","Cleveland","OH","44106","Web","E-Ticket"
"18","1/29/2020 15:18","2017","Cleveland","OH","44106","Web","E-Ticket"
"18","1/29/2020 14:23","1398","Beachwood","OH","44122","POS","E-Ticket"
"18","1/29/2020 14:23","1398","Beachwood","OH","44122","POS","E-Ticket"
"28","1/29/2020 14:21","986","Cleveland","OH","44113","Web","E-Ticket"
"28","1/29/2020 14:21","986","Cleveland","OH","44113","Web","E-Ticket"
"33","1/29/2020 14:10","1895","Cleveland Heights","OH","44106","Web","E-Ticket"
"33","1/29/2020 14:10","1895","Cleveland Heights","OH","44106","Web","E-Ticket"
"18","1/29/2020 14:06","3219","University Heights","OH","44118","POS","Will Call"
"18","1/29/2020 14:06","3219","University Heights","OH","44118","POS","Will Call"
"28","1/29/2020 14:00","1895","Cleveland Heights","OH","44106","Web","E-Ticket"
"28","1/29/2020 14:00","1895","Cleveland Heights","OH","44106","Web","E-Ticket"
"19","1/29/2020 12:01","3686","Macedonia","OH","44056","POS","E-Ticket"
"19","1/29/2020 12:01","3686","Macedonia","OH","44056","POS","E-Ticket"
"19","1/29/2020 12:01","3686","Macedonia","OH","44056","POS","E-Ticket"
"19","1/29/2020 11:34","1496","Beachwood","OH","44122","POS","E-Ticket"
"28","1/29/2020 11:26","173","Cleveland","OH","44113","Web","E-Ticket"
"28","1/29/2020 11:26","173","Cleveland","OH","44113","Web","E-Ticket"
"18","1/29/2020 11:05","2038","Cleveland Heights","OH","44106","Web","E-Ticket"
"18","1/29/2020 10:49","721","Cleveland","OH","44102","Web","E-Ticket"
"21","1/29/2020 10:43","651","Cleveland","OH","44118","Web","E-Ticket"
"20","1/29/2020 10:43","651","Cleveland","OH","44118","Web","E-Ticket"
"19","1/29/2020 10:43","651","Cleveland","OH","44118","Web","E-Ticket"
"28","1/29/2020 10:38","10","Bentleyville","OH","44022","Web","E-Ticket"
"28","1/29/2020 10:17","2256","Macedonia","OH","44056","Web","E-Ticket"
"19","1/29/2020 9:50","1496","Beachwood","OH","44122","POS","E-Ticket"
"19","1/29/2020 9:50","1496","Beachwood","OH","44122","POS","E-Ticket"
"18","1/29/2020 9:05","1463","Lakewood","OH","44107","Web","E-Ticket"
"28","1/29/2020 8:44","4986","Cleveland","OH","44118","Web","E-Ticket"
"18","1/29/2020 8:37","3934","Mentor","OH","44060","Web","E-Ticket"
"28","1/29/2020 7:18","2437","Hudson","OH","44236","Web","E-Ticket"
"28","1/29/2020 7:18","2437","Hudson","OH","44236","Web","E-Ticket"
"18","1/29/2020 5:56","390","Independence","OH","44131","Web","Will Call"
"18","1/29/2020 5:56","390","Independence","OH","44131","Web","Will Call"
"18","1/29/2020 5:56","390","Independence","OH","44131","Web","Will Call"
"18","1/29/2020 5:54","2347","South Euclid","OH","44121","Web","E-Ticket"
"18","1/29/2020 5:54","2347","South Euclid","OH","44121","Web","E-Ticket"
"19","1/29/2020 5:37","951","Madison","OH","44057","Web","E-Ticket"
"19","1/29/2020 5:37","951","Madison","OH","44057","Web","E-Ticket"
"18","1/29/2020 4:18","1572","Beachwood","OH","44122","Web","E-Ticket"
"18","1/29/2020 4:18","1572","Beachwood","OH","44122","Web","E-Ticket"
"18","1/29/2020 4:18","1572","Beachwood","OH","44122","Web","E-Ticket"
"18","1/28/2020 23:12","80","Chesterland","OH","44026","Web","E-Ticket"
"18","1/28/2020 23:12","80","Chesterland","OH","44026","Web","E-Ticket"
"18","1/28/2020 21:11","4243","Cleveland","OH","44124","Web","Will Call"
"18","1/28/2020 21:05","772","Mentor","OH","44060","Web","E-Ticket"
"18","1/28/2020 21:05","772","Mentor","OH","44060","Web","E-Ticket"
"28","1/28/2020 20:26","632","Shaker Heights","OH","44122","Web","E-Ticket"
"18","1/28/2020 19:59","2073","Cleveland","OH","44110","Web","E-Ticket"
"18","1/28/2020 19:59","2073","Cleveland","OH","44110","Web","E-Ticket"
"18","1/28/2020 19:55","3489","Cleveland","OH","44106","Web","E-Ticket"
"18","1/28/2020 19:55","3489","Cleveland","OH","44106","Web","E-Ticket"
"28","1/28/2020 19:34","3190","Richfield","OH","44286","Web","Will Call"
"28","1/28/2020 19:34","3190","Richfield","OH","44286","Web","Will Call"
"28","1/28/2020 19:34","3190","Richfield","OH","44286","Web","Will Call"
"19","1/28/2020 18:49","2357","Highland Heights","OH","44143","Web","E-Ticket"
"19","1/28/2020 18:49","2357","Highland Heights","OH","44143","Web","E-Ticket"
"28","1/28/2020 18:06","3804","Shaker Heights","OH","44122","Web","E-Ticket"
"28","1/28/2020 18:01","3927","Cleveland","OH","44106","Web","E-Ticket"
"28","1/28/2020 18:01","3927","Cleveland","OH","44106","Web","E-Ticket"
"18","1/28/2020 17:51","1717","Cincinnati","OH","45231","Web","E-Ticket"
"19","1/28/2020 17:48","940","Cincinnati","OH","45238","Web","E-Ticket"
"28","1/28/2020 17:17","3582","Beachwood","OH","44122","Web","E-Ticket"
"28","1/28/2020 17:06","3067","Cleveland","OH","44106","Web","E-Ticket"
"28","1/28/2020 16:53","4244","Cleveland","OH","44120","Web","E-Ticket"
"28","1/28/2020 16:53","4244","Cleveland","OH","44120","Web","E-Ticket"
"28","1/28/2020 16:53","4244","Cleveland","OH","44120","Web","E-Ticket"
"28","1/28/2020 16:53","4244","Cleveland","OH","44120","Web","E-Ticket"
"28","1/28/2020 16:51","1089","Avon Lake","OH","44012","Web","E-Ticket"
"28","1/28/2020 16:51","1089","Avon Lake","OH","44012","Web","E-Ticket"
"28","1/28/2020 16:50","3369","Shaker Heights","OH","44118","Web","Will Call"
"28","1/28/2020 16:50","3369","Shaker Heights","OH","44118","Web","Will Call"
"28","1/28/2020 16:47","3668","Cleveland","OH","44111","POS","E-Ticket"
"33","1/28/2020 16:47","3668","Cleveland","OH","44111","POS","E-Ticket"
"28","1/28/2020 16:41","3648","Cleveland","OH","44102","Web","E-Ticket"
"28","1/28/2020 16:41","3648","Cleveland","OH","44102","Web","E-Ticket"
"18","1/28/2020 16:34","1878","Wickliffe","OH","44092","Web","E-Ticket"
"28","1/28/2020 16:30","2943","Cleveland","OH","44119","Web","Will Call"
"28","1/28/2020 16:30","2943","Cleveland","OH","44119","Web","Will Call"
"19","1/28/2020 15:59","2692","Cleveland Heights","OH","44121","Web","E-Ticket"
"19","1/28/2020 15:59","2692","Cleveland Heights","OH","44121","Web","E-Ticket"
"21","1/28/2020 15:48","885","Beachwood","OH","44122","Web","E-Ticket"
"21","1/28/2020 15:48","885","Beachwood","OH","44122","Web","E-Ticket"
"21","1/28/2020 15:48","885","Beachwood","OH","44122","Web","E-Ticket"
"21","1/28/2020 15:48","885","Beachwood","OH","44122","Web","E-Ticket"
"18","1/28/2020 15:34","4742","Cleveland Heights","OH","44106","Web","E-Ticket"
"18","1/28/2020 15:34","4742","Cleveland Heights","OH","44106","Web","E-Ticket"
"29","1/28/2020 15:31","3994","Chagrin Falls","OH","44022","Web","E-Ticket"
"29","1/28/2020 15:31","3994","Chagrin Falls","OH","44022","Web","E-Ticket"
"18","1/28/2020 15:29","298","Cleveland","OH","44122","POS","E-Ticket"
